model,retailer,value,final_price,html_price,rendered_price,previous_week_price,base_value,discount,promo_note,source_method,availability,availability_method,availability_text,risk_flags,confidence,decision_note,status,error,fetched_at,url
"iPad Air M4  11"" 128 GB Wifi",FPT,19490000,19490000,19490000,19490000,19490000,19490000,0,,fpt_structured_offer_price,,,,,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:29:14,https://fptshop.com.vn/may-tinh-bang/ipad-air-11-inch-m4-2026-wifi
"iPad Air M4  11"" 128 GB Wifi",MW,19690000,19690000,19690000,,19690000,20990000,1300000,"Giảm giá 1,300,000",mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:29:15,https://www.thegioididong.com/may-tinh-bang/ipad-air-m4-11-inch-wifi-128gb
"iPad Air M4  11"" 128 GB Wifi",CPS,19690000,19690000,19690000,,19690000,19690000,0,,cps_sale_price,,,,,HTML_OK,,OK,,2026-09-10T15:29:17,https://cellphones.com.vn/apple-ipad-air-m4-11-inch-128gb-wifi.html
"iPad Air M4  11"" 128 GB Wifi",Shopdunk,18490000,18490000,18490000,,18490000,18490000,0,,shopdunk_price_value,,,,,HTML_OK,,OK,,2026-09-10T15:29:18,https://shopdunk.com/ipad-air-m4-11-inch-wi-fi-v1
"iPad Air M3  13"" 128 GB Wifi",Viettel,,,,,OOS,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:29:19,https://viettelstore.vn/may-tinh-bang/ipad-air-m3-13-inch-wifi-128gb-pid347934.html
"iPad Air M3  13"" 128 GB Wifi",FPT,21990000,21990000,21990000,21990000,21990000,21990000,0,,fpt_structured_offer_price,,,,,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:29:20,https://fptshop.com.vn/may-tinh-bang/ipad-air-13-inch-m3-2025-wifi
"iPad Air M3  13"" 128 GB Wifi",MW,OOS,OOS,,15500000,OOS,OOS,0,,product_status_element,OOS,rendered_dom:.box04.notselling .productstatus,SẢN PHẨM Ngừng kinh doanh,WARN_RENDER_STOCK_CONFIRMED,VERIFIED_OOS,render confirmed OOS via rendered_dom:.box04.notselling .productstatus,OOS,,2026-09-10T15:29:21,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-13-inch-wifi-128gb
"iPad Air M4  13"" 128 GB Wifi",Viettel,,,,,23790000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:29:22,https://viettelstore.vn/may-tinh-bang/ipad-air-m4-13-inch-wifi-128gb-pid363679.html
"iPad Air M4  13"" 128 GB Wifi",FPT,24990000,24990000,24990000,24990000,24990000,24990000,0,,fpt_structured_offer_price,,,,,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:29:23,https://fptshop.com.vn/may-tinh-bang/ipad-air-13-inch-m4-2026-wifi
"iPad Air M4  13"" 128 GB Wifi",MW,25390000,25390000,25390000,,25390000,26490000,1100000,"Giảm giá 1,100,000",mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:29:25,https://www.thegioididong.com/may-tinh-bang/ipad-air-m4-13-inch-wifi-128gb
