week_id,week_number,quarter,fiscal_year,category,raw_model,canonical_model,capacity,partner,price_vnd,stock_status,price_change_note,source_sheet,source_row,source_url,mapping_status,import_batch_id
W4Q3FY24,4,3,24,iPad,iPad 9th (Wi-fi 64GB),iPad 9th (Wi-fi 64GB),64GB,FPT,7140000,In stock,,W4Q3FY24,24,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad 9th (Wi-fi 64GB),iPad 9th (Wi-fi 64GB),64GB,MW,7090000,In stock,,W4Q3FY24,21,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad 9th (Wi-fi 64GB),iPad 9th (Wi-fi 64GB),64GB,Shopdunk,6990000,In stock,,W4Q3FY24,23,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad 9th (Wi-fi 64GB),iPad 9th (Wi-fi 64GB),64GB,Viettel,7090000,In stock,,W4Q3FY24,16,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Air 5 (Wi-fi 64GB),iPad Air 5 64GB Wifi,64GB,CPS,14390000,In stock,,W4Q3FY24,21,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Air 5 (Wi-fi 64GB),iPad Air 5 64GB Wifi,64GB,FPT,14390000,In stock,,W4Q3FY24,21,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Air 5 (Wi-fi 64GB),iPad Air 5 64GB Wifi,64GB,MW,14390000,In stock,,W4Q3FY24,18,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Air 5 (Wi-fi 64GB),iPad Air 5 64GB Wifi,64GB,Shopdunk,14390000,In stock,,W4Q3FY24,20,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Air 5 (Wi-fi 64GB),iPad Air 5 64GB Wifi,64GB,Viettel,13990000,In stock,,W4Q3FY24,13,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad 10th (Wi-fi 64GB),iPad Gen 10th 64GB Wifi,64GB,CPS,9890000,In stock,,W4Q3FY24,24,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Gen 10th (Wi-fi 64GB),iPad Gen 10th 64GB Wifi,64GB,FPT,9940000,In stock,,W4Q3FY24,23,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad 10th (Wi-fi 64GB),iPad Gen 10th 64GB Wifi,64GB,MW,10290000,In stock,,W4Q3FY24,20,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Gen 10th (Wi-fi 64GB),iPad Gen 10th 64GB Wifi,64GB,Shopdunk,9890000,In stock,,W4Q3FY24,22,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad 10th (Wi-fi 64GB),iPad Gen 10th 64GB Wifi,64GB,Viettel,9890000,In stock,,W4Q3FY24,15,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Mini 6 (Wi-fi 64GB),iPad Mini 6 64GB Wifi,64GB,CPS,11990000,In stock,,W4Q3FY24,22,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Mini 6 (Wi-fi 64GB),iPad Mini 6 64GB Wifi,64GB,FPT,11890000,In stock,,W4Q3FY24,22,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Mini 6 (Wi-fi 64GB),iPad Mini 6 64GB Wifi,64GB,MW,12390000,In stock,,W4Q3FY24,19,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Mini 6 (Wi-fi 64GB),iPad Mini 6 64GB Wifi,64GB,Shopdunk,10940000,In stock,,W4Q3FY24,21,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Mini 6 (Wi-fi 64GB),iPad Mini 6 64GB Wifi,64GB,Viettel,12190000,In stock,,W4Q3FY24,14,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Pro M1 (Wi-fi 11” 128GB),"iPad Pro 11"" M1 128GB Wifi",128GB,CPS,,OOS,,W4Q3FY24,19,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Pro M2 (Wi-fi 11” 128GB),"iPad Pro 11"" M2 128GB Wifi",128GB,CPS,20790000,In stock,,W4Q3FY24,20,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Pro M2 (Wi-fi 11” 128GB),"iPad Pro 11"" M2 128GB Wifi",128GB,FPT,20390000,In stock,,W4Q3FY24,20,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Pro M2 (Wi-fi 11” 128GB),"iPad Pro 11"" M2 128GB Wifi",128GB,MW,20990000,In stock,,W4Q3FY24,17,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPad,iPad Pro M2 (Wi-fi 11” 128GB),"iPad Pro 11"" M2 128GB Wifi",128GB,Viettel,19990000,In stock,,W4Q3FY24,12,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 11 64GB,iPhone 11 64GB,64GB,CPS,8790000,In stock,,W4Q3FY24,12,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 11 64GB,iPhone 11 64GB,64GB,FPT,8940000,In stock,,W4Q3FY24,12,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 11 64GB,iPhone 11 64GB,64GB,MW,8990000,In stock,,W4Q3FY24,10,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 11 64GB,iPhone 11 64GB,64GB,Shopdunk,8790000,In stock,,W4Q3FY24,12,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 11 64GB,iPhone 11 64GB,64GB,Viettel,8790000,In stock,,W4Q3FY24,11,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 12 64GB,iPhone 12 64GB,64GB,CPS,11790000,In stock,,W4Q3FY24,11,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 12 64GB,iPhone 12 64GB,64GB,FPT,11890000,In stock,,W4Q3FY24,11,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 12 64GB,iPhone 12 64GB,64GB,MW,11990000,In stock,,W4Q3FY24,9,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 12 64GB,iPhone 12 64GB,64GB,Shopdunk,12290000,In stock,,W4Q3FY24,11,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 12 64GB,iPhone 12 64GB,64GB,Viettel,11990000,In stock,,W4Q3FY24,10,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 13 128GB,iPhone 13 128GB,128GB,CPS,13590000,In stock,,W4Q3FY24,10,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 13 128GB,iPhone 13 128GB,128GB,FPT,13690000,In stock,,W4Q3FY24,10,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 13 128GB,iPhone 13 128GB,128GB,MW,13990000,In stock,,W4Q3FY24,8,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 13 128GB,iPhone 13 128GB,128GB,Shopdunk,13390000,In stock,,W4Q3FY24,10,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 13 128GB,iPhone 13 128GB,128GB,Viettel,13190000,In stock,,W4Q3FY24,9,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 128 GB,iPhone 14 128GB,128GB,CPS,16990000,In stock,,W4Q3FY24,6,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 128Gb,iPhone 14 128GB,128GB,FPT,16690000,In stock,,W4Q3FY24,9,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 128 Gb,iPhone 14 128GB,128GB,MW,16790000,In stock,,W4Q3FY24,6,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 128,iPhone 14 128GB,128GB,Shopdunk,16990000,In stock,,W4Q3FY24,9,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 128 Gb,iPhone 14 128GB,128GB,Viettel,16840000,In stock,,W4Q3FY24,6,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 Plus 128GB,iPhone 14 Plus 128GB,128GB,CPS,19390000,In stock,,W4Q3FY24,7,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 Plus 128Gb,iPhone 14 Plus 128GB,128GB,FPT,19690000,In stock,,W4Q3FY24,8,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 Plus 128Gb,iPhone 14 Plus 128GB,128GB,Shopdunk,19690000,In stock,,W4Q3FY24,8,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 Plus 128Gb,iPhone 14 Plus 128GB,128GB,Viettel,19990000,In stock,,W4Q3FY24,7,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 Pro 128GB,iPhone 14 Pro 128GB,128GB,CPS,,OOS,,W4Q3FY24,8,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 Pro 128Gb,iPhone 14 Pro 128GB,128GB,FPT,,OOS,,W4Q3FY24,7,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 Pro 128Gb,iPhone 14 Pro 128GB,128GB,Shopdunk,23890000,In stock,,W4Q3FY24,7,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 Pro Max 128GB,iPhone 14 Pro Max 128GB,128GB,CPS,25590000,In stock,,W4Q3FY24,9,,Mapped,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 Pro Max 128Gb,iPhone 14 Pro Max 128GB,128GB,FPT,,OOS,,W4Q3FY24,6,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 Pro Max 128Gb,iPhone 14 Pro Max 128GB,128GB,MW,27390000,In stock,,W4Q3FY24,7,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 Pro Max 128Gb,iPhone 14 Pro Max 128GB,128GB,Shopdunk,26550000,In stock,,W4Q3FY24,6,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,iPhone,iPhone 14 Pro Max 256Gb,iPhone 14 Pro Max 256GB,256GB,Viettel,,In stock,,W4Q3FY24,8,,Auto-normalized,price_check_62813eb26afe
